,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Genre,Like or not like,Percent
0,0.618,https://api.spotify.com/v1/audio-analysis/7oAraczbemGSNWqnbkU87R,0.515,201000,0.378,7oAraczbemGSNWqnbkU87R,0,5,0.172,-8.264,1,0.065,91.883,4,https://api.spotify.com/v1/tracks/7oAraczbemGSNWqnbkU87R,audio_features,spotify:track:7oAraczbemGSNWqnbkU87R,0.536,3,1,0.920433491
1,0.852,https://api.spotify.com/v1/audio-analysis/5qJZxVKQ8vz9Rak3t4b2VY,0.632,148589,0.38,5qJZxVKQ8vz9Rak3t4b2VY,0,1,0.0992,-7.073,1,0.0301,77.944,4,https://api.spotify.com/v1/tracks/5qJZxVKQ8vz9Rak3t4b2VY,audio_features,spotify:track:5qJZxVKQ8vz9Rak3t4b2VY,0.596,3,1,0.807488802
2,0.187,https://api.spotify.com/v1/audio-analysis/5ooilrQAnOJbUjq7IDm8lY,0.317,222173,0.547,5ooilrQAnOJbUjq7IDm8lY,0,8,0.121,-6.549,1,0.0366,117.332,4,https://api.spotify.com/v1/tracks/5ooilrQAnOJbUjq7IDm8lY,audio_features,spotify:track:5ooilrQAnOJbUjq7IDm8lY,0.105,3,1,0.718865219
3,0.449,https://api.spotify.com/v1/audio-analysis/7F8HihW3isdKTe2ttVRghq,0.44,231676,0.469,7F8HihW3isdKTe2ttVRghq,0,5,0.169,-8.338,0,0.112,169.755,4,https://api.spotify.com/v1/tracks/7F8HihW3isdKTe2ttVRghq,audio_features,spotify:track:7F8HihW3isdKTe2ttVRghq,0.225,3,1,0.84733872
4,0.0139,https://api.spotify.com/v1/audio-analysis/7AOdyU64RafmvJUL4WMotN,0.396,204587,0.574,7AOdyU64RafmvJUL4WMotN,1.00E-05,2,0.32,-7.381,1,0.0426,116.605,4,https://api.spotify.com/v1/tracks/7AOdyU64RafmvJUL4WMotN,audio_features,spotify:track:7AOdyU64RafmvJUL4WMotN,0.0755,3,1,0.975283606
5,0.0393,https://api.spotify.com/v1/audio-analysis/5AEtlRudpgdT5FtNiuly6Y,0.659,174800,0.717,5AEtlRudpgdT5FtNiuly6Y,0,8,0.0769,-4.202,1,0.0581,103.036,4,https://api.spotify.com/v1/tracks/5AEtlRudpgdT5FtNiuly6Y,audio_features,spotify:track:5AEtlRudpgdT5FtNiuly6Y,0.71,3,1,0.767137109
6,0.917,https://api.spotify.com/v1/audio-analysis/6iYPoZnQ3WmuddjUNr974z,0.402,215707,0.186,6iYPoZnQ3WmuddjUNr974z,0,0,0.208,-12.982,1,0.0282,98.641,4,https://api.spotify.com/v1/tracks/6iYPoZnQ3WmuddjUNr974z,audio_features,spotify:track:6iYPoZnQ3WmuddjUNr974z,0.196,3,1,0.830104237
7,0.632,https://api.spotify.com/v1/audio-analysis/1Mrq3vlXr6IWJ7cBCLYfMH,0.659,223053,0.435,1Mrq3vlXr6IWJ7cBCLYfMH,0.0694,5,0.0882,-9.788,1,0.0571,107.988,4,https://api.spotify.com/v1/tracks/1Mrq3vlXr6IWJ7cBCLYfMH,audio_features,spotify:track:1Mrq3vlXr6IWJ7cBCLYfMH,0.251,3,1,0.877109236
8,0.0121,https://api.spotify.com/v1/audio-analysis/6KjbNLbRjuoa8rEq5yNA6H,0.673,208000,0.514,6KjbNLbRjuoa8rEq5yNA6H,8.50E-05,0,0.385,-10.772,0,0.0465,100.035,4,https://api.spotify.com/v1/tracks/6KjbNLbRjuoa8rEq5yNA6H,audio_features,spotify:track:6KjbNLbRjuoa8rEq5yNA6H,0.34,3,1,0.970898931
9,0.227,https://api.spotify.com/v1/audio-analysis/2QPuWjnOa6N5p8fGn3iGly,0.564,222067,0.775,2QPuWjnOa6N5p8fGn3iGly,0.131,2,0.421,-6.777,1,0.0486,83.034,4,https://api.spotify.com/v1/tracks/2QPuWjnOa6N5p8fGn3iGly,audio_features,spotify:track:2QPuWjnOa6N5p8fGn3iGly,0.458,3,1,0.958307281
10,0.916,https://api.spotify.com/v1/audio-analysis/2ZSphylqeidgOMNJ3Lu7h0,0.413,250097,0.293,2ZSphylqeidgOMNJ3Lu7h0,4.80E-06,10,0.11,-11.279,1,0.0558,93.628,4,https://api.spotify.com/v1/tracks/2ZSphylqeidgOMNJ3Lu7h0,audio_features,spotify:track:2ZSphylqeidgOMNJ3Lu7h0,0.294,3,1,0.722852943
11,0.944,https://api.spotify.com/v1/audio-analysis/1Kut1rb9iJcQLIM32wOCdV,0.394,206695,0.492,1Kut1rb9iJcQLIM32wOCdV,0.000154,2,0.153,-10.163,1,0.0461,192.086,3,https://api.spotify.com/v1/tracks/1Kut1rb9iJcQLIM32wOCdV,audio_features,spotify:track:1Kut1rb9iJcQLIM32wOCdV,0.31,3,1,0.878706339
12,0.202,https://api.spotify.com/v1/audio-analysis/5hc71nKsUgtwQ3z52KEKQk,0.611,347520,0.799,5hc71nKsUgtwQ3z52KEKQk,0.0277,0,0.123,-5.719,1,0.0641,101.038,4,https://api.spotify.com/v1/tracks/5hc71nKsUgtwQ3z52KEKQk,audio_features,spotify:track:5hc71nKsUgtwQ3z52KEKQk,0.51,3,1,0.990872801
13,0.804,https://api.spotify.com/v1/audio-analysis/13HVjjWUZFaWilh2QUJKsP,0.568,260533,0.293,13HVjjWUZFaWilh2QUJKsP,1.26E-05,1,0.107,-10.253,1,0.0313,147.175,4,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,audio_features,spotify:track:13HVjjWUZFaWilh2QUJKsP,0.252,3,1,0.727551567
14,0.209,https://api.spotify.com/v1/audio-analysis/1zZcEoMG3ZEUU6hEPyPXh5,0.407,293320,0.458,1zZcEoMG3ZEUU6hEPyPXh5,3.69E-06,6,0.0895,-11.795,1,0.0432,156.234,4,https://api.spotify.com/v1/tracks/1zZcEoMG3ZEUU6hEPyPXh5,audio_features,spotify:track:1zZcEoMG3ZEUU6hEPyPXh5,0.149,3,1,0.792414276
15,0.421,https://api.spotify.com/v1/audio-analysis/1lntL1cI2UIWlxjL5QiN8g,0.38,189333,0.553,1lntL1cI2UIWlxjL5QiN8g,2.63E-06,7,0.0788,-6.621,1,0.0653,179.629,4,https://api.spotify.com/v1/tracks/1lntL1cI2UIWlxjL5QiN8g,audio_features,spotify:track:1lntL1cI2UIWlxjL5QiN8g,0.381,3,1,0.876425359
16,0.834,https://api.spotify.com/v1/audio-analysis/3ou9K7ew2BDWiAFZU7QmZn,0.384,182000,0.375,3ou9K7ew2BDWiAFZU7QmZn,0,7,0.287,-6.626,1,0.0327,89.464,4,https://api.spotify.com/v1/tracks/3ou9K7ew2BDWiAFZU7QmZn,audio_features,spotify:track:3ou9K7ew2BDWiAFZU7QmZn,0.399,3,1,0.773196856
17,0.427,https://api.spotify.com/v1/audio-analysis/1sx4GRirvsRPocH3W04e5a,0.651,182500,0.377,1sx4GRirvsRPocH3W04e5a,3.68E-05,1,0.0936,-10.404,0,0.0811,123.999,4,https://api.spotify.com/v1/tracks/1sx4GRirvsRPocH3W04e5a,audio_features,spotify:track:1sx4GRirvsRPocH3W04e5a,0.416,3,1,0.709571585
18,0.749,https://api.spotify.com/v1/audio-analysis/3t3CpReqAorp7aHnmQlKRl,0.28,198144,0.329,3t3CpReqAorp7aHnmQlKRl,0,7,0.0717,-9.831,1,0.0479,88.416,5,https://api.spotify.com/v1/tracks/3t3CpReqAorp7aHnmQlKRl,audio_features,spotify:track:3t3CpReqAorp7aHnmQlKRl,0.045,3,1,0.76599897
19,0.224,https://api.spotify.com/v1/audio-analysis/3llC7WjMtxqDwaM1Gjzvrs,0.627,237427,0.729,3llC7WjMtxqDwaM1Gjzvrs,1.66E-05,0,0.18,-6.661,1,0.04,119.945,4,https://api.spotify.com/v1/tracks/3llC7WjMtxqDwaM1Gjzvrs,audio_features,spotify:track:3llC7WjMtxqDwaM1Gjzvrs,0.316,3,1,0.858070485
20,0.0126,https://api.spotify.com/v1/audio-analysis/7kqCbVG93MnBnkRGiKWTPs,0.472,244940,0.679,7kqCbVG93MnBnkRGiKWTPs,0,9,0.102,-6.089,0,0.163,129.98,4,https://api.spotify.com/v1/tracks/7kqCbVG93MnBnkRGiKWTPs,audio_features,spotify:track:7kqCbVG93MnBnkRGiKWTPs,0.309,3,1,0.886704411
