,Like or not like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1,0.487,0.532,11,-8.129,0,0.245,0.0129,0,0.123,0.243,138.13,'audio_features','16Ah4QqH4mgYVXqfC4mdSd','spotify:track:16Ah4QqH4mgYVXqfC4mdSd','https://api.spotify.com/v1/tracks/16Ah4QqH4mgYVXqfC4mdSd','https://api.spotify.com/v1/audio-analysis/16Ah4QqH4mgYVXqfC4mdSd',228640,3
1,1,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,'audio_features','2znzyzlAUc8Z1Ikq9aFOcx','spotify:track:2znzyzlAUc8Z1Ikq9aFOcx','https://api.spotify.com/v1/tracks/2znzyzlAUc8Z1Ikq9aFOcx','https://api.spotify.com/v1/audio-analysis/2znzyzlAUc8Z1Ikq9aFOcx',321987,4
2,1,0.621,0.607,8,-5.837,0,0.0698,0.0114,0,0.116,0.338,124.02,'audio_features','4ncn8k2CUuv0GRlGRbV3MO','spotify:track:4ncn8k2CUuv0GRlGRbV3MO','https://api.spotify.com/v1/tracks/4ncn8k2CUuv0GRlGRbV3MO','https://api.spotify.com/v1/audio-analysis/4ncn8k2CUuv0GRlGRbV3MO',266453,4
3,1,0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,'audio_features','45XhKYRRkyeqoW3teSOkCM','spotify:track:45XhKYRRkyeqoW3teSOkCM','https://api.spotify.com/v1/tracks/45XhKYRRkyeqoW3teSOkCM','https://api.spotify.com/v1/audio-analysis/45XhKYRRkyeqoW3teSOkCM',204664,4
4,1,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,'audio_features','1jYiIOC5d6soxkJP81fxq2','spotify:track:1jYiIOC5d6soxkJP81fxq2','https://api.spotify.com/v1/tracks/1jYiIOC5d6soxkJP81fxq2','https://api.spotify.com/v1/audio-analysis/1jYiIOC5d6soxkJP81fxq2',288877,4
5,1,0.412,0.548,10,-6.981,1,0.243,0.0173,0,0.181,0.176,81.293,'audio_features','4VJ7mnW4wjjIgPBM6KWvPu','spotify:track:4VJ7mnW4wjjIgPBM6KWvPu','https://api.spotify.com/v1/tracks/4VJ7mnW4wjjIgPBM6KWvPu','https://api.spotify.com/v1/audio-analysis/4VJ7mnW4wjjIgPBM6KWvPu',325615,4
6,1,0.691,0.542,1,-8.161,1,0.145,0.0112,0,0.098,0.587,80.052,'audio_features','1Q1jlFs004vwB0DOznii3K','spotify:track:1Q1jlFs004vwB0DOznii3K','https://api.spotify.com/v1/tracks/1Q1jlFs004vwB0DOznii3K','https://api.spotify.com/v1/audio-analysis/1Q1jlFs004vwB0DOznii3K',230853,4
7,1,0.731,0.368,8,-10.38,1,0.0688,0.00544,0,0.193,0.512,145.171,'audio_features','1lih9AUGlOI2qbAkptdBsr','spotify:track:1lih9AUGlOI2qbAkptdBsr','https://api.spotify.com/v1/tracks/1lih9AUGlOI2qbAkptdBsr','https://api.spotify.com/v1/audio-analysis/1lih9AUGlOI2qbAkptdBsr',265333,4
8,1,0.828,0.392,8,-8.099,1,0.0742,0.0663,0,0.162,0.459,104.919,'audio_features','6iEcSU3TGinx759dss627V','spotify:track:6iEcSU3TGinx759dss627V','https://api.spotify.com/v1/tracks/6iEcSU3TGinx759dss627V','https://api.spotify.com/v1/audio-analysis/6iEcSU3TGinx759dss627V',240107,4
9,1,0.602,0.545,1,-8.097,1,0.0497,0.0023,0,0.11,0.0791,113.791,'audio_features','07NPnAXwGmtWFNy45EFVbM','spotify:track:07NPnAXwGmtWFNy45EFVbM','https://api.spotify.com/v1/tracks/07NPnAXwGmtWFNy45EFVbM','https://api.spotify.com/v1/audio-analysis/07NPnAXwGmtWFNy45EFVbM',274507,5
