,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Genre,Like or not like,Percent
3,7.24E-05,https://api.spotify.com/v1/audio-analysis/5C1d7ROKhZQdGwjR8oQX6I,0.38,210947,0.886,5C1d7ROKhZQdGwjR8oQX6I,0.0468,0,0.715,-5.385,1,0.0411,149.983,4,https://api.spotify.com/v1/tracks/5C1d7ROKhZQdGwjR8oQX6I,audio_features,spotify:track:5C1d7ROKhZQdGwjR8oQX6I,0.38,2,1,0.705189325
1,0.00415,https://api.spotify.com/v1/audio-analysis/5Vac8co5QPblcdlWbHSFsE,0.349,218627,0.919,5Vac8co5QPblcdlWbHSFsE,0,7,0.26,-4.124,1,0.0838,166.916,4,https://api.spotify.com/v1/tracks/5Vac8co5QPblcdlWbHSFsE,audio_features,spotify:track:5Vac8co5QPblcdlWbHSFsE,0.295,2,1,0.900015065
2,0.00166,https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX,0.423,206520,0.94,6GIrIt2M39wEGwjCQjGChX,0,1,0.178,-4.012,0,0.0635,149.934,4,https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX,audio_features,spotify:track:6GIrIt2M39wEGwjCQjGChX,0.484,2,1,0.947797674
3,3.43E-05,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,0.486,198267,0.904,23oxJmDc1V9uLUSmN2LIvx,2.83E-05,6,0.0947,-3.751,0,0.0638,173.734,4,https://api.spotify.com/v1/tracks/23oxJmDc1V9uLUSmN2LIvx,audio_features,spotify:track:23oxJmDc1V9uLUSmN2LIvx,0.763,2,1,0.968739326
4,0.0004,https://api.spotify.com/v1/audio-analysis/5lDriBxJd22IhOH9zTcFrV,0.453,193653,0.942,5lDriBxJd22IhOH9zTcFrV,2.65E-06,10,0.667,-4.256,1,0.0466,143.85,4,https://api.spotify.com/v1/tracks/5lDriBxJd22IhOH9zTcFrV,audio_features,spotify:track:5lDriBxJd22IhOH9zTcFrV,0.459,2,1,0.722538484
5,0.000242,https://api.spotify.com/v1/audio-analysis/5oQcOu1omDykbIPSdSQQNJ,0.606,193000,0.887,5oQcOu1omDykbIPSdSQQNJ,0,4,0.337,-4.404,1,0.0598,119.974,4,https://api.spotify.com/v1/tracks/5oQcOu1omDykbIPSdSQQNJ,audio_features,spotify:track:5oQcOu1omDykbIPSdSQQNJ,0.9,2,1,0.983817007
6,0.0273,https://api.spotify.com/v1/audio-analysis/2TeiKDPE3RdamZG0pp5okI,0.494,277027,0.672,2TeiKDPE3RdamZG0pp5okI,0,3,0.105,-4.877,1,0.0405,156.208,4,https://api.spotify.com/v1/tracks/2TeiKDPE3RdamZG0pp5okI,audio_features,spotify:track:2TeiKDPE3RdamZG0pp5okI,0.542,2,1,0.714233153
7,0.0134,https://api.spotify.com/v1/audio-analysis/714Lw0m2SmCEhKSPw0Dn8J,0.421,206773,0.858,714Lw0m2SmCEhKSPw0Dn8J,0,1,0.067,-4.535,1,0.0963,173.255,4,https://api.spotify.com/v1/tracks/714Lw0m2SmCEhKSPw0Dn8J,audio_features,spotify:track:714Lw0m2SmCEhKSPw0Dn8J,0.513,2,1,0.768610912
8,0.0674,https://api.spotify.com/v1/audio-analysis/4tk347oICCDJExiWHndadC,0.54,188440,0.913,4tk347oICCDJExiWHndadC,0,8,0.101,-4.176,1,0.233,160.168,4,https://api.spotify.com/v1/tracks/4tk347oICCDJExiWHndadC,audio_features,spotify:track:4tk347oICCDJExiWHndadC,0.588,2,1,0.805875382
9,0.00758,https://api.spotify.com/v1/audio-analysis/6cREm4bV7V79Yxdilx9HDo,0.786,215160,0.687,6cREm4bV7V79Yxdilx9HDo,0,0,0.62,-5.914,1,0.141,105.021,4,https://api.spotify.com/v1/tracks/6cREm4bV7V79Yxdilx9HDo,audio_features,spotify:track:6cREm4bV7V79Yxdilx9HDo,0.35,2,1,0.703294607
10,0.217,https://api.spotify.com/v1/audio-analysis/27eoCHVL1mohdzR7c61KQ1,0.697,217126,0.659,27eoCHVL1mohdzR7c61KQ1,0,10,0.254,-5.544,1,0.104,150.941,4,https://api.spotify.com/v1/tracks/27eoCHVL1mohdzR7c61KQ1,audio_features,spotify:track:27eoCHVL1mohdzR7c61KQ1,0.491,2,1,0.932291854
11,0.0536,https://api.spotify.com/v1/audio-analysis/6JxZ9vocwmMDekdXXF10AL,0.703,220709,0.473,6JxZ9vocwmMDekdXXF10AL,0,7,0.661,-7.863,1,0.132,80.059,3,https://api.spotify.com/v1/tracks/6JxZ9vocwmMDekdXXF10AL,audio_features,spotify:track:6JxZ9vocwmMDekdXXF10AL,0.546,2,1,0.882150126
12,0.0046,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,0.496,185587,0.863,2nLtzopw4rPReszdYBJU6h,0,9,0.639,-4.153,1,0.0381,110.018,4,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,audio_features,spotify:track:2nLtzopw4rPReszdYBJU6h,0.244,2,1,0.797056332
13,0.0484,https://api.spotify.com/v1/audio-analysis/104buTcnP2AsxqB7U1FIZ4,0.59,169801,0.671,104buTcnP2AsxqB7U1FIZ4,0,9,0.0604,-6.098,1,0.0706,149.982,4,https://api.spotify.com/v1/tracks/104buTcnP2AsxqB7U1FIZ4,audio_features,spotify:track:104buTcnP2AsxqB7U1FIZ4,0.421,2,1,0.707175397
14,5.86E-05,https://api.spotify.com/v1/audio-analysis/0faXHILILebCGnJBPU6KJJ,0.391,200547,0.963,0faXHILILebCGnJBPU6KJJ,0.0689,10,0.14,-4.378,0,0.0773,167.065,4,https://api.spotify.com/v1/tracks/0faXHILILebCGnJBPU6KJJ,audio_features,spotify:track:0faXHILILebCGnJBPU6KJJ,0.328,2,1,0.979150555
15,0.0572,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,0.585,244507,0.776,5xEM5hIgJ1jjgcEBfpkt2F,7.74E-06,5,0.3,-5.898,1,0.0459,77.987,4,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,audio_features,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,0.43,2,1,0.856570996
16,0.00136,https://api.spotify.com/v1/audio-analysis/6sqNctd7MlJoKDOxPVCAvU,0.414,242413,0.936,6sqNctd7MlJoKDOxPVCAvU,0,2,0.369,-2.407,1,0.0758,170.229,4,https://api.spotify.com/v1/tracks/6sqNctd7MlJoKDOxPVCAvU,audio_features,spotify:track:6sqNctd7MlJoKDOxPVCAvU,0.718,2,1,0.765258223
17,0.0171,https://api.spotify.com/v1/audio-analysis/0KlahhzNb98zyN83Vwae0l,0.557,255360,0.783,0KlahhzNb98zyN83Vwae0l,0.0172,6,0.151,-4.893,0,0.234,177.008,4,https://api.spotify.com/v1/tracks/0KlahhzNb98zyN83Vwae0l,audio_features,spotify:track:0KlahhzNb98zyN83Vwae0l,0.454,2,1,0.912562203
18,0.0194,https://api.spotify.com/v1/audio-analysis/2TZ1apxMDlubCGMsOxcTbT,0.575,214560,0.913,2TZ1apxMDlubCGMsOxcTbT,3.50E-05,8,0.27,-5.029,0,0.0745,118.097,4,https://api.spotify.com/v1/tracks/2TZ1apxMDlubCGMsOxcTbT,audio_features,spotify:track:2TZ1apxMDlubCGMsOxcTbT,0.5,2,1,0.896380385
19,0.229,https://api.spotify.com/v1/audio-analysis/0J1Wfjo9H3R62yaCuuNDZX,0.547,215333,0.832,0J1Wfjo9H3R62yaCuuNDZX,0,0,0.306,-3.752,1,0.0808,78.209,4,https://api.spotify.com/v1/tracks/0J1Wfjo9H3R62yaCuuNDZX,audio_features,spotify:track:0J1Wfjo9H3R62yaCuuNDZX,0.765,2,1,0.899735696
20,0.0702,https://api.spotify.com/v1/audio-analysis/1jypmXUJgxWKWJZdDsJiXQ,0.5,179533,0.84,1jypmXUJgxWKWJZdDsJiXQ,0,4,0.103,-4.692,1,0.049,112.9,4,https://api.spotify.com/v1/tracks/1jypmXUJgxWKWJZdDsJiXQ,audio_features,spotify:track:1jypmXUJgxWKWJZdDsJiXQ,0.616,2,1,0.83689057
21,0.0698,https://api.spotify.com/v1/audio-analysis/7qhUtJDCu1tYrdkIMPVYRc,0.627,217667,0.837,7qhUtJDCu1tYrdkIMPVYRc,0,4,0.23,-4.546,1,0.0439,120.848,4,https://api.spotify.com/v1/tracks/7qhUtJDCu1tYrdkIMPVYRc,audio_features,spotify:track:7qhUtJDCu1tYrdkIMPVYRc,0.358,2,1,0.718417141
22,0.00275,https://api.spotify.com/v1/audio-analysis/1FMHNVeJ9s1x1l1WlaRs2I,0.335,244827,0.676,1FMHNVeJ9s1x1l1WlaRs2I,0,0,0.141,-4.68,1,0.0301,175.845,4,https://api.spotify.com/v1/tracks/1FMHNVeJ9s1x1l1WlaRs2I,audio_features,spotify:track:1FMHNVeJ9s1x1l1WlaRs2I,0.325,2,1,0.859255283
23,0.0304,https://api.spotify.com/v1/audio-analysis/7Bz4NRXHoQF1OdhvxFDbCt,0.586,262253,0.684,7Bz4NRXHoQF1OdhvxFDbCt,6.78E-06,0,0.193,-6.673,1,0.0285,83.531,4,https://api.spotify.com/v1/tracks/7Bz4NRXHoQF1OdhvxFDbCt,audio_features,spotify:track:7Bz4NRXHoQF1OdhvxFDbCt,0.783,2,1,0.866446534
